compound1,compound2,hydrogen_donor,hydrogen_acceptor,Drug1,molecular_weight (in g/mol) / DA
Omnipen,Ampicillin Oral,0,6,Ampicillin,365.4
Arimidex,Anastrozole Oral,1,4,Anastrozole,371.4
Eliquis,Apixaban Oral,1,5,Apixaban,297.3
Abilify,Aripiprazole Oral,2,6,Aripiprazole,459.4
Tenormin,Atenolol Oral,0,1,Atenolol,448.4
Strattera,Atomoxetine Hydrochloride,2,4,Atomoxetine,266.3
Lipitor,Atorvastatin Calcium,0,5,Atorvastatin,291.4
Imuran,Azathioprine Oral,1,3,Azathioprine,558.6
Zithromax,Azithromycin Oral,1,4,Azithromycin,277.2
Lioresal,Baclofen Oral,1,5,Baclofen,749
Qvar,Beclomethasone Dipropionate,1,5,Beclomethasone,213.1
Lotensin,Benazepril Hydrochloride,1,2,Benazepril,521
Treanda,Bendamustine Injection,2,4,Bendamustine,336.4
Casodex,Bicalutamide Oral,1,5,Bicalutamide,314.1
Zebeta,Bisoprolol Fumarate,4,6,Bisoprolol,433.5
Parlodel,Bromocriptine Mesylate,2,1,Bromocriptine,325.4
Pulmicort,Budesonide Oral,1,3,Budesonide,414.3
Bumex,Bumetanide Oral,0,4,Bumetanide,430.5
Wellbutrin,Bupropion Hydrochloride,0,5,Bupropion,366.4
Buspar,Buspirone Oral,1,4,Buspirone,239.7
Myleran,Busulfan Injection,2,4,Busulfan,372.5
Miacalcin,Calcitonin Injection,0,5,Calcitonin,222.1
Rocaltrol,Calcitriol Oral,2,4,Calcitriol,"3,500"
Atacand,Candesartan Cilexetil,0,4,Candesartan,416.7
Xeloda,Capecitabine Oral,0,4,Capecitabine,420.5
Capoten,Captopril Oral,1,4,Captopril,359.3
Tegretol,Carbamazepine Extended Release,1,5,Carbamazepine,217.3
Coreg,Carvedilol Extended Release,1,7,Carvedilol,236.2
Ceclor,Cefaclor Oral,4,1,Cefaclor,406.5
Duricef,Cefadroxil Oral,4,6,Cefadroxil,359.2
Ancef,Cefazolin Injection,0,4,Cefazolin,357.4
Omnicef,Cefdinir Oral,3,3,Cefdinir,454.4
Maxipime,Cefepime Injection,2,5,Cefepime,365.4
Suprax,Cefixime Oral,0,7,Cefixime,507.5
Claforan,Cefotaxime Injection,1,5,Cefotaxime,453.4
Cefotan,Cefotetan Injection,3,6,Cefotetan,453.4
Cefotan,Cefoxitin Injection,2,4,Cefoxitin,460.5
Fortaz,Ceftazidime Injection,1,4,Ceftazidime,374.3
Rocephin,Ceftriaxone Injection,1,4,Ceftriaxone,636.6
Ceftin,Cefuroxime Oral,0,5,Cefuroxime,661.6
Celebrex,Celecoxib Oral,1,3,Celecoxib,414.4
Keflex,Cephalexin Oral,2,5,Cephalexin,822.9
Aralen,Chloroquine Phosphate,2,6,Chloroquine,320.8
Thorazine,Chlorpromazine Oral,2,5,Chlorpromazine,318.9
Tagamet,Cimetidine Oral,3,4,Cimetidine,252.3
Cipro,Ciprofloxacin Oral,4,5,Ciprofloxacin,331.3
Celexa,Citalopram Oral,0,6,Citalopram,314.8
Biaxin,Clarithromycin Oral,1,7,Clarithromycin,748
Cleocin,Clindamycin Oral,1,5,Clindamycin,424.9
Temovate,Clobetasol Propionate,2,4,Clobetasol,521
Clomid,Clomiphene Citrate,0,5,Clomiphene,405.5
Klonopin,Clonazepam Oral,2,6,Clonazepam,315.2
Catapres,Clonidine Hydrochloride,0,4,Clonidine,230.7
Plavix,Clopidogrel Bisulfate,1,5,Clopidogrel,321.8
Lotrimin,Clotrimazole Cream,1,4,Clotrimazole,344.2
Clozaril,Clozapine Oral,1,5,Clozapine,326.8
Colcrys,Colchicine Oral,1,4,Colchicine,399.4
Welchol,Colesevelam Hydrochloride,1,5,Colesevelam,1500
Premarin,Conjugated Estrogens Oral,2,4,Colchicine,2000
Flexeril,Cyclobenzaprine Oral,1,5,Conjugated estrogens,276.8
Neoral,Cyclosporine Oral,4,4,Cyclobenzaprine,"1,203.60"
Pradaxa,Dabigatran Oral,2,5,Cyclosporine,627.6
Avlosulfon,Dapsone Oral,1,4,Dabigatran,248.3
Enablex,Darifenacin Oral,0,5,Dapsone,320.2
Norpramin,Desipramine Oral,0,2,Darifenacin,270.4
Clarinex,Desloratadine Oral,1,4,Desipramine,310.8
Dexilant,Dexlansoprazole Extended Release,2,5,Desloratadine,369.3
Focalin,Dexmethylphenidate Extended Release,0,4,Dexlansoprazole,268.2
Dexedrine,Dextroamphetamine Sulfate,2,3,Dexmethylphenidate,271.4
Delsym,Dextromethorphan HBr,0,5,Dextroamphetamine,284.7
Valium,Diazepam Oral,0,3,Dextromethorphan,296.1
Voltaren,Diclofenac Sodium,1,5,Diazepam,288.4
Bentyl,Dicyclomine Hydrochloride,1,3,Diclofenac,780.4
Lanoxin,Digoxin Oral,1,4,Dicyclomine,414.9
Cardizem,Diltiazem Extended Release,4,3,Digoxin,255.4
Benadryl,Diphenhydramine HCl,4,4,Diltiazem,206.3
Depakote,Divalproex Sodium,0,4,Diphenhydramine,219.3
Dobutrex,Dobutamine Injection,3,7,Divalproex,153.2
Intropin,Dopamine Injection,2,4,Dobutamine,412.4
Cardura,Doxazosin Extended Release,0,12,Dopamine,309.4
Silenor,Doxepin Oral,1,3,Doxazosin,444.4
Vibramycin,Doxycycline Hyclate,3,10,Doxepin,297.3
Cymbalta,Duloxetine Oral,2,7,Doxycycline,315.3
Sustiva,Efavirenz Oral,1,2,Duloxetine,359.2
Vasotec,Enalapril Maleate,1,2,Efavirenz,357.4
Enalaprilat (active metabolite),Ethyl ester (prodrug form),0,1,Enalapril,454.4
Low Molecular Weight Heparin (LMWH),Ethyl ester (prodrug form),1,9,Enoxaparin,365.4
Recombinant Human Erythropoietin,Sialic Acid (glycosylation modifications),2,5,Epoetin alfa,507.5
Desosamine (sugar moiety),Cladinose (sugar moiety),2,3,Erythromycin,453.4
(S)-Citalopram (enantiomer),Cyclohexane Ring,2,6,Escitalopram,453.4
(S)-Omeprazole (enantiomer),Sulfoxide Group,3,5,Esomeprazole,460.5
Phenolic A-ring,Cyclohexane Ring,4,6,Estradiol,374.3
Estrone (estrogenic steroid),Equilin (estrogenic steroid),0,5,"Estrogens, conjugated",636.6
Cyclopropyl (part of the structure),Chloride Group (part of the structure),1,7,Eszopiclone,661.6
Ethylene Diamine (amine group),Butanol (hydroxyl group),1,6,Ethambutol,414.4
Ethinyl Group (acetylene group),Estradiol (estrogenic steroid),2,5,Ethinyl estradiol,822.9
Pyrrole (part of the structure),Carboxylic Acid (part of the structure),0,7,Etodolac,320.8
Triazole Ring (part of the structure),Diphenyl Group (part of the structure),2,8,Etravirine,318.9
Phenyl Ring,Azetidinone Ring,0,5,Ezetimibe,252.3
Furan Ring,Thiazole Ring,1,4,Famotidine,331.3
Dihydropyridine Ring,Ester Group,1,3,Felodipine,314.8
Phenyl Group,Isobutyric Acid,1,6,Fenofibrate,748
N-Phenethyl Group,Anilide Group,1,3,Fentanyl,424.9
Iron (Fe),Sulfate (SO4),1,7,Ferrous sulfate,521
Diphenyl Ether,Carboxyl Group,2,2,Fexofenadine,405.5
Triazole Ring,Fluorophenyl Group,1,5,Fluconazole,315.2
Pyrimidine Ring,Fluorine Atom,4,6,Flucytosine,230.7
Phenyl Ring,Trifluoromethyl Group,2,4,Fluoxetine,321.8
Corticosteroid Backbone,Fluorinated Side Chains,1,5,Fluticasone,344.2
Sulfonamide Group,Furoic Acid,0,6,Furosemide,326.8
Cyclohexane Ring,Amino Acid,0,1,Gabapentin,399.4
Phenoxyisobutyric Acid,Aromatic Ring,1,4,Gemfibrozil,1500
Aminoglycoside Structure,Sugar Moieties,2,5,Gentamicin,2000
Sulfonylurea Group,Piperidine Ring,0,3,Glimepiride,276.8
Sulfonylurea Group,Piperazine Ring,2,4,Glipizide,"1,203.60"
Sulfonylurea Group,Pyrimidine Ring,0,5,Glyburide,627.6
Benzofurans,Cyclic Dipeptide,0,5,Griseofulvin,248.3
Piperidine Ring,Butyrophenone Group,1,2,Haloperidol,320.2
4o mini,Thiazide Ring,1,4,Hydrochlorothiazide,270.4
Quinoline Ring,Hydroxyl Group,1,5,Hydroxychloroquine,310.8
Urea Group,Hydroxyl Group,4,6,Hydroxyurea,369.3
Pyrimidine Ring,Aniline Group,4,1,Imatinib,268.2
Beta-Lactam Ring,Thiazolidine Ring,0,3,Imipenem,271.4
Indole Ring,Acetic Acid Group,3,4,Indomethacin,284.7
Monoclonal Antibody,TNF-alpha Binding Region,2,5,Infliximab,296.1
Tropane Ring,Quaternary Ammonium Group,0,4,Ipratropium,288.4
Pyridine Ring,Hydrazide Group,3,4,Isoniazid,780.4
Nitrate Ester,Isosorbide Group,2,5,Isosorbide dinitrate,414.9
Retinoid Structure,Isopropyl Group,0,4,Isotretinoin,255.4
Triazole Ring,Cyclohexane Ring,1,4,Itraconazole,206.3
Imidazole Ring,Ketone Group,3,4,Ketoconazole,219.3
Pyrrole Ring,Carboxylic Acid,2,4,Ketorolac,153.2
Cytosine Analogue,Hydroxymethyl Group,1,5,Lamivudine,412.4
Phenyltriazine Ring,Amino Group,1,7,Lamotrigine,309.4
Benzimidazole Ring,Pyridine Ring,0,1,Lansoprazole,444.4
Prostaglandin Analog,Phenyl Group,1,6,Latanoprost,297.3
Luteinizing Hormone Analogue,Peptide Structure,2,4,Leuprolide,315.3
Phenyl Ethylamine,Hydroxybutyl Group,2,3,Levalbuterol,359.2
Pyrrolidone Ring,Ethyl Group,2,5,Levetiracetam,357.4
Fluoroquinolone Structure,Carboxyl Group,3,7,Levofloxacin,454.4
Thyroxine Structure,Iodine Atom,4,5,Levothyroxine,365.4
Anilide Group,Ethyl Group,0,6,Lidocaine,507.5
Oxazolidinone Ring,Phenyl Group,1,4,Linezolid,453.4
Dipeptide Structure,Carboxyl Group,1,4,Lisinopril,453.4
Lithium Ion,Carboxyl Group,2,4,Lithium,460.5
Piperidine Ring,Chlorinated Aromatic Ring,0,5,Loratadine,374.3
Benzodiazepine Ring,Chlorinated Phenyl Ring,2,3,Lorazepam,636.6
Tetrazole Ring,Biphenyl Group,0,5,Losartan,661.6
Hydroxyacid,Octahydroindole Ring,1,6,Lovastatin,414.4
Endothelin Receptor Antagonist,Pyrimidine Ring,1,5,Macitentan,822.9
Piperazine Ring,Phenyl Ring,1,4,Meclizine,320.8
Progesterone Derivative,Methyl Group,1,5,Medroxyprogesterone,318.9
Oxicam Ring,Methyl Group,1,6,Meloxicam,252.3
Aminoadamantane Ring,Cyclohexane Group,2,7,Memantine,331.3
Piperidine Ring,Anilide Group,1,5,Meperidine,314.8
Aminosalicylic Acid,Phenyl Group,4,4,Mesalamine,748
Biguanide Structure,Dimethyl Group,2,5,Metformin,424.9
Diphenylpropylamine,Methadone Group,1,6,Methadone,521
Imidazole Ring,Sulfur Atom,0,4,Methimazole,405.5
Folate Analog,Amino Group,0,5,Methotrexate,315.2
Corticosteroid Backbone,Methyl Group,1,4,Methylprednisolone,230.7
Benzamide Ring,Dimethylamino Group,2,5,Metoclopramide,321.8
Beta-Adrenergic Blocker,Ethanolamine Group,0,4,Metoprolol,344.2
Nitroimidazole Ring,Methoxy Group,2,5,Metronidazole,326.8
Tetracycline Ring,Dimethylamino Group,0,4,Minocycline,399.4
Tetracyclic Antidepressant,Phenyl Ring,0,5,Mirtazapine,1500
Prostaglandin Analog,Methyl Ester,1,4,Misoprostol,2000
Anthracenedione Ring,Dimethylamino Group,1,5,Mitoxantrone,276.8
Benzhydryl Group,Sulfinyl Group,1,4,Modafinil,"1,203.60"
Leukotriene Receptor Antagonist,Benzothiazole Ring,4,5,Montelukast,627.6
Phenanthrene Ring,Hydroxyl Group,4,2,Morphine,248.3
Fluoroquinolone Structure,Carboxyl Group,0,4,Moxifloxacin,320.2
Phenyl Group,Cyclic Compound,3,5,Mycophenolate,270.4
Ketone Group,Aromatic Ring,2,4,Nabumetone,310.8
Non-selective Beta-Blocker,Carboxyl Group,0,3,Nadolol,369.3
Napthylpropionic Acid,Carboxyl Group,3,5,Naproxen,268.2
Beta-Blocker,Phenyl Group,2,3,Nebivolol,271.4
Pyrimidine Ring,Phenyl Group,0,5,Nelfinavir,284.7
Aminoglycoside Structure,Sugar Moieties,1,0,Neomycin,296.1
Non-Nucleoside Reverse Transcriptase Inhibitor,Pyridine Ring,3,3,Nevirapine,288.4
Dihydropyridine Ring,Ester Group,2,2,Nifedipine,780.4
Furan Ring,Nitro Group,1,0,Nitrofurantoin,414.9
Nitrate Ester,Ethanolamine Group,1,1,Nitroglycerin,255.4
Fluoroquinolone Structure,Carboxyl Group,0,3,Norfloxacin,206.3
Tricyclic Antidepressant,Phenyl Group,1,2,Nortriptyline,219.3
Polypeptide Structure,Polyene Ring,2,1,Nystatin,153.2
Fluoroquinolone Structure,Piperazine Ring,2,1,Ofloxacin,412.4
Dibenzodiazepine Ring,Phenyl Ring,2,0,Olanzapine,309.4
Tetrazole Ring,Benzyl Group,3,1,Olmesartan,444.4
Benzimidazole Ring,Pyridine Ring,4,2,Omeprazole,297.3
Benzimidazole Ring,Pyrimidine Ring,0,2,Ondansetron,315.3
Carboxylic Acid,Ethers Group,1,2,Oseltamivir,359.2
Benzylpenicillin,Thiazolidine Ring,1,3,Oxacillin,357.4
Methylxanthine,Amide Group,2,4,Oxybutynin,454.4
Angiotensin II Receptor Antagonist,Biphenyl Group,0,0,Oxycodone,365.4
Imidazole Ring,Methoxyphenyl Group,2,1,Oxymorphone,507.5
Piperazine Ring,Piperidine Ring,0,1,Paliperidone,453.4
Phenylthiazole Ring,Morpholine Group,1,2,Pantoprazole,453.4
Phenylbutazone,Pyridine Ring,1,0,Paroxetine,460.5
Penicillin Ring,Beta-Lactam Ring,1,2,Peginterferon,374.3
Steroid Backbone,Carbonyl Group,1,0,Penicillin,636.6
Steroid Backbone,Carbonyl Group,1,1,Pentoxifylline,661.6
Pregnanes,Cyclohexane Ring,2,1,Perindopril,414.4
Phenylbutylamide,Benzene Ring,1,1,Permethrin,822.9
Benzodiazepine Ring,Phenyl Group,4,1,Phenobarbital,320.8
Cyclic Ether,Benzyl Group,2,1,Phenytoin,318.9
Alkylamine Group,Phenyl Ring,1,2,Pioglitazone,252.3
Phenyl Group,Piperidine Ring,0,1,Piroxicam,331.3
Beta-Lactam Ring,Phenyl Group,0,4,Pivmecillinam,314.8
Aromatic Ring,Piperidine Ring,1,2,Pravastatin,748
Triazole Ring,Cyclohexane Ring,2,1,Prednisolone,424.9
N-Phenylpiperazine,Phenyl Group,0,0,Prednisone,521
Piperidine Ring,Benzyl Group,2,0,Pregabalin,405.5
Piperidine Ring,Benzyl Group,0,1,Primidone,315.2
Benzylisoquinoline,Phenyl Ring,0,2,Probenecid,230.7
Fluoroquinolone Structure,Carboxyl Group,1,0,Prochlorperazine,321.8
Phenothiazine Ring,Benzyl Group,1,2,Progesterone,344.2
Piperazine Ring,Phenyl Ring,1,0,Promethazine,326.8
Alpha-Adrenergic Antagonist,Phenyl Group,4,0,Propafenone,399.4
Phenyl Group,Carboxyl Group,4,1,Propranolol,1500
Benzofuran Ring,Phenyl Group,0,1,Pseudoephedrine,2000
Benzoxazole Ring,Phenyl Group,3,1,Pyrazinamide,276.8
Imidazole Ring,Pyridine Ring,2,4,Pyridostigmine,"1,203.60"
Beta-Lactam Ring,Carboxyl Group,0,4,Quetiapine,627.6
Dibenzothiazepine Ring,Phenyl Ring,3,0,Quinapril,248.3
Angiotensin II Receptor Antagonist,Piperidine Ring,2,3,Quinine,320.2
Quinine Ring,Quinolone Group,0,2,Raltegravir,270.4
Integrase Inhibitor,Pyrimidine Ring,1,0,Ramipril,310.8
Angiotensin Converting Enzyme Inhibitor,Pyrrolidine Ring,3,3,Ranitidine,369.3
Imidazole Ring,Dimethylamino Group,2,2,Rasagiline,268.2
"1-Amino-2,3-dihydro-1H-indole",Phenyl Ring,1,0,Rifabutin,271.4
Rifamycin Ring,Phenyl Group,1,1,Rifampin,284.7
Rifamycin Ring,Amino Group,0,3,Riluzole,296.1
Oxadiazole Ring,Benzyl Group,1,2,Risedronate,288.4
Hydroxypyrrolidine Ring,Aniline Group,2,1,Risperidone,780.4
Beta-Adrenergic Agonist,Propyl Group,2,1,Ritonavir,414.9
Thiazolidinedione Group,Phenyl Group,2,0,Rivastigmine,255.4
Aromatic Ring,Hydroxyl Group,3,1,Rizatriptan,206.3
Phenothiazine Ring,Piperidine Ring,4,2,Roflumilast,219.3
Macrolide Antibiotic,Erythromycin Backbone,0,2,Ropinirole,153.2
Beta-Adrenergic Agonist,Phenyl Ring,1,2,Rosiglitazone,412.4
Dipeptide Inhibitor,Glucagon-like Peptide,1,3,Rosuvastatin,309.4
Pyrrolidine Ring,Phenyl Group,2,4,Rotigotine,444.4
Monoclonal Antibody,Interleukin-17A Binding Region,0,0,Roxithromycin,297.3
Monoamine Oxidase Inhibitor,Benzyl Group,2,1,Salmeterol,315.3
Phosphodiesterase-4 Inhibitor,Piperazine Ring,0,1,Saxagliptin,359.2
Dihydroergotamine Derivative,Benzyl Group,1,2,Secukinumab,357.4
Imidazole Ring,Phenyl Ring,1,0,Selegiline,454.4
Dipeptide Analog,Carboxyl Group,1,2,Sildenafil,365.4
Sodium Salt,Carboxyl Group,1,0,Simvastatin,507.5
Sodium Salt,Carboxyl Group,1,1,Sitagliptin,453.4
Sodium Salt,Carboxyl Group,2,1,Sodium bicarbonate,453.4
Sodium Salt,Carboxyl Group,1,1,Sodium chloride,460.5
Tertiary Amine Group,Aromatic Ring,4,1,Sodium citrate,374.3
Aromatic Ring,Aliphatic Group,2,1,Sodium phosphate,636.6
Aldosterone Antagonist,Steroid Backbone,1,2,Solifenacin,661.6
Nucleoside Reverse Transcriptase Inhibitor,Thymidine Analog,0,1,Sotalol,414.4
Aminoglycoside Structure,Sugar Moieties,0,4,Spironolactone,822.9
Sucralfate Complex,Sulfated Polysaccharide,1,2,Stavudine,320.8
Sulfapyridine Derivative,Amino Group,2,1,Streptomycin,318.9
Sulfonamide,Carboxyl Group,0,0,Sucralfate,252.3
Sulfonamide,Aromatic Ring,2,0,Sulfasalazine,331.3
Sumatriptan Structure,Indole Group,0,1,Sulfamethoxazole,314.8
Macrolide Ring,Erythromycin Backbone,0,2,Sulfadiazine,748
Phosphodiesterase-5 Inhibitor,Pyrazolopyrimidine Group,1,0,Sulfisoxazole,424.9
Antagonist of Adrenergic Receptors,Benzodiazepine Ring,1,2,Sumatriptan,521
Angiotensin II Receptor Antagonist,Hydroxyl Group,1,0,Tacrolimus,405.5
Calcium Channel Blocker,Quinazoline Group,4,0,Tadalafil,315.2
Antagonist of α1-Adrenergic Receptors,Piperazine Ring,4,1,Tamoxifen,230.7
Macrolide Antibiotic,Phenyl Group,0,1,Tamsulosin,321.8
Prostaglandin Analog,Aminoethylpiperidine,3,1,Tazobactam,344.2
Vasodilator,Aromatic Group,2,4,Telmisartan,326.8
Thiazide Diuretic,Sulfonamide Group,0,4,Temazepam,399.4
Vasopressin Receptor Antagonist,Phenyl Ring,3,0,Tenofovir,1500
Inhibitor of Angiotensin Converting Enzyme,Pyrrolidine Ring,2,3,Terbinafine,2000
Beta-Blocker,Phenyl Group,0,2,Terbutaline,276.8
Antifungal,Phenyl Group,1,0,Teriparatide,"1,203.60"
Acetylcholinesterase Inhibitor,Pyrrolidine Ring,3,3,Tetracycline,627.6
Selective Serotonin Reuptake Inhibitor,Phenyl Ring,2,2,Thalidomide,248.3
Beta-Blocker,Aromatic Ring,1,0,Theophylline,320.2
Anticancer Agent,Alkylating Agent,1,1,Thioguanine,270.4
Antiviral Agent,Pyrimidine Ring,0,3,Thiotepa,310.8
Beta-Adrenergic Agonist,Phenyl Ring,1,2,Thiopental,369.3
Non-Steroidal Anti-Inflammatory Drug,Phenyl Ring,2,1,Tiagabine,268.2
Calcium Channel Blocker,Phenyl Group,2,1,Ticagrelor,271.4
Aminoglycoside,Sugar Moieties,2,0,Ticarcillin,284.7
Sulfonamide,Phenyl Group,3,1,Tigecycline,296.1
Sulfonamide,Phenyl Ring,4,2,Timolol,288.4
Selective Serotonin Reuptake Inhibitor,Phenyl Ring,0,2,Tiotropium,780.4
Immunosuppressant,Macrolide Ring,1,2,Tizanidine,414.9
Phosphodiesterase-5 Inhibitor,Phenyl Ring,1,3,Tobramycin,255.4
Phenylthiazine Ring,Piperidine Ring,2,4,Tolterodine,206.3
Benzodiazepine Ring,Aromatic Ring,0,0,Topiramate,219.3
Piperazine Ring,Carboxyl Group,2,1,Tramadol,153.2
Amino Acid Derivative,Carboxylic Acid,0,1,Tranexamic acid,412.4
Piperidine Ring,Phenyl Ring,1,2,Tranylcypromine,309.4
Phenylpiperazine Ring,Tetrahydrofuran Ring,1,0,Trazodone,444.4
Steroid Backbone,Hydroxyl Group,1,2,Triamcinolone,297.3
Pyrimidine Ring,Diaminopyrimidine Ring,1,0,Triamterene,315.3
Pyrimidine Ring,Fluoro Group,1,1,Trifluridine,359.2
Trimethoxybenzene Ring,Dimethylamino Group,2,1,Trimethoprim,357.4
Piperidine Ring,Phenyl Ring,1,1,Trimipramine,454.4
Cyclohexane Ring,Benzyl Group,4,1,Trospium,365.4
Ester Group,Guanine Derivative,2,1,Valacyclovir,507.5
Guanine Derivative,Ester Group,1,2,Valganciclovir,453.4
Carboxylic Acid,Amino Group,0,1,Valproic acid,453.4
Glycopeptide Antibiotic,Amino Sugar Group,0,4,Vancomycin,460.5
Piperazine Ring,Phenyl Group,1,2,Vardenafil,374.3
Nicotinamide Ring,Pyrazole Ring,2,1,Varenicline,636.6
N-Arylpiperazine Ring,Phenyl Ring,0,0,Vemurafenib,661.6
Piperazine Ring,Morpholine Group,2,0,Verapamil,414.4
Macrolide Antibiotic,Erythromycin Backbone,0,1,Vilazodone,822.9
Cyclic Peptide,Argon Group,0,2,Vinblastine,320.8
Glucagon-like Peptide,Carbonyl Group,1,0,Vincristine,318.9
Antibody to PCSK9,Human Monoclonal Antibody,1,2,Vinorelbine,252.3
Monoclonal Antibody,PCSK9 Binding Region,1,0,Voriconazole,331.3
Proprotein Convertase Subtype 9 Inhibitor,Monoclonal Antibody,4,0,Warfarin,314.8
Dipeptide Analog,Phenyl Ring,4,1,Zaleplon,748
Peptide Analog,Aromatic Ring,0,1,Zolpidem,424.9
Dipeptide Analog,Phenyl Group,3,1,Zonisamide,521
Glucagon-like Peptide,Carbonyl Group,2,4,Zopiclone,405.5
Sodium Salt,phenyl ring,0,4,Sacubitril/valsartan,315.2
Sodium Salt,amino acid,3,0,Alirocumab,230.7
Sodium Salt,Amide Group,2,3,Evolocumab,321.8
Sodium Salt,phenyl group,0,2,Inclisiran,344.2
Insulin Analogue,Glargine Structure,1,0,Ertugliflozin,326.8
Dipeptide Analog,Carboxyl Group,3,3,Liraglutide,399.4
Dipeptide Analog,Phenyl Group,2,2,Semaglutide,1500
Dipeptide Analog,Amino Group,1,0,Dulaglutide,2000
Dipeptide Analog,Phenyl Ring,1,1,Sitagliptin/metformin,276.8
Dipeptide Analog,Aromatic Ring,0,3,Linagliptin,"1,203.60"
Dipeptide Analog,Phenyl Group,1,2,Albiglutide,627.6
Dipeptide Analog,Phenyl Group,2,1,Canagliflozin,248.3
Dipeptide Analog,Glucagon-like Peptide,2,1,Dapagliflozin,320.2
Dipeptide Analog,Carbonyl Group,2,0,Empagliflozin,270.4
Dipeptide Analog,Carboxyl Group,3,1,Insulin glargine,310.8
acetic acid,salicyclic acid,1,2,Aspirin,180.16
4-aminophenol,acetic anhydride,1,1,Acetaminophen,151.16
p-hydroxyphenyl glycine methyl ester,aminopenicillanic acid,0,2,Amoxicillin,365.4
erythromycin,methyl-nitrogen,0,2,Azithromycin,748.98
Isobutylbenzene,Acyl chloride,4,7,Ibuprofen,206.28
Dimethylbiguanide,Cyanamide,2,3,Metformin,129.16
Cyclohexanone,Amino acids,2,3,Gabapentin,171.24
Amoxicillin,Clavulanic Acid,0,2,Augmentin,365
Hydrocodone,Acetaminophen,1,1,Vicodin,291
Lisinopril,Hydrochlorothiazide,2,3,Zestoretic,447
Amlodipine,Benazepril,3,3,Lotrel,408
Fluticasone,Salmeterol,2,2,Advair,500.57
Ipratropium,Albuterol,2,2,Combivent,332.38
Losartan,Hydrochlorothiazide,1,2,Hyzaar,422.91
Metformin,Sitagliptin,1,3,Janumet,523.32
Glyburide,Metformin,0,2,Glucovance,493.99
Vildagliptin,Metformin,0,2,Galvus Met,129.96
Perindopril,Indapamide,0,2,Preterax,365.84
Bisoprolol,Hydrochlorothiazide,3,4,Ziac,325.45
Lamivudine,Zidovudine,1,3,Combivir,229.26
Carbidopa,Levodopa,3,4,Sinemet,244.24
Pioglitazone,Metformin,2,3,Actoplus Met,356.44
Telmisartan,Hydrochlorothiazide,2,5,Micardis HCT,514.63
Valsartan,Hydrochlorothiazide,2,1,Diovan HCT,433.52
Lopinavir,Ritonavir,1,1,Kaletra,345.76
Aliskiren,Hydrochlorothiazide,1,2,Tekturna HCT,609.83
Amlodipine,Olmesartan,2,2,Azor,408.88
Amlodipine,Valsartan,2,2,Exforge,408.88
Amlodipine,Atorvastatin,2,7,Caduet,266.37
Atenolol,Chlorthalidone,2,4,Tenoretic,505.45
 4-chloroaniline,Hexamethylenetetramin,2,2,Chlorhexidine,299.37
Thebaine ,Hydrogenation Reagents,2,4,Hydrocodone,585.53
Minocycline ,Glycine,4,4,Tigecycline,424.5
Benazepril,Hydrochlorothiazide,0,3,Lotensin HCT,408.87
D-Glucose derivative, Benzyl bromide derivative,0,6,Dapagliflozin ,493.99
4-chlorobenzenesulfonamide, 5-chloro-2-methoxybenzoic acid,1,1,Glyburide,440.47
Candesartan,Hydrochlorothiazide,4,6,Atacand HCT,217.29
Captopril,Hydrochlorothiazide,2,3,Capozide,274.78
Chlorpheniramine,Hydrocodone,3,4,Tussionex,274.78
Chlorpheniramine,Phenylephrine,1,3,Chlor-Trimeton,297.23
Chlorpheniramine,Pseudoephedrine,2,6,Chlor-Trimeton D,274.78
Ciprofloxacin,Dexamethasone,2,6,Ciprodex,331.34
Clindamycin,Tretinoin,2,4,Ziana,425.98
Clotrimazole,Betamethasone,1,3,Lotrisone,344.84
Codeine,Guaifenesin,0,4,Robitussin AC,198.22
Codeine,Promethazine,0,3,Phenergan with Codeine,284.41
Dapagliflozin,Metformin,1,4,Xigduo XR,408.87
Diclofenac,Misoprostol,3,4,Arthrotec,296.15
Dorzolamide,Timolol,1,7,Cosopt,324.48
Ezetimibe,Simvastatin,2,4,Vytorin,409.39
Fenofibrate,Simvastatin,4,12,Cholib,360.83
Formoterol,Budesonide,2,3,Symbicort,430.54
Glyburide,Rosiglitazone,3,10,Avandaryl,357.43
Ibuprofen,Famotidine,2,7,Duexis,206.28
Indapamide,Perindopril,0,2,Preterax,368.42
Lopinavir,Ritonavir,0,2,Kaletra,628.81
Methyldopa,Hydrochlorothiazide,2,1,Aldoril,211.21
Metoprolo,Olmesartan,2,9,Azor,408.88
Pioglitazone,Glimepiride,0,5,Duetact,356.44
Amlodipine,Perindopril,2,3,Prestalia,777.6
Amphetamine,Dextroamphetamine,3,6,Adderal,270.4
Aspirin,Dipyridamole,1,5,Aggrenox,684.7
Budesonide,Formoterol,0,6,Symbicort,774.9
Buprenorphine,Naloxone,2,5,Suboxone,795
Chlorpheniramine,Phenylpropanolamine,0,7,Ornade,426
Chlorpheniramine,Methscopolamine,2,6,Deconamine SR,759.4
Chlorpheniramine,Phenylpropanolamine,1,5,Teldrin,426
Codeine,Acetaminophen,1,7,Tylenol with Codeine,450.6
Diclofenac,Omeprazole,2,8,Arthrotec,641.6
Drospirenone,Ethinyl Estradiol,1,5,Yasmin,662.9
Emtricitabine,Tenofovir,2,4,Truvada,534.5
Esomeprazole,Naproxen,3,3,Vimovo,575.7
